"CENSUS2K_Code","CENSUS2K_Occupation_Title","BLS_Code","BLS_Occupation_Title","OMBSOC_Code","OMBSOC_Occupation_Title","ONET_Code","ONET_Occupation_Title","CIP_Code","CIP_Occupation_Title","NSSBIC_Code","NSSBIC_Occupation_Title","DOECC_Code","DOECC_Occupation_Title"
30,"Engineering Managers","11-9041","Engineering Managers","11-9041","Engineering Managers","11-9041.00","Engineering Managers","14.2801","Textile Sciences & Engineering",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
30,"Engineering Managers","11-9041","Engineering Managers","11-9041","Engineering Managers","11-9041.00","Engineering Managers","14.3101","Materials Science",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
30,"Engineering Managers","11-9041","Engineering Managers","11-9041","Engineering Managers","11-9041.00","Engineering Managers","14.3201","Polymer/Plastics Engineering",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
30,"Engineering Managers","11-9041","Engineering Managers","11-9041","Engineering Managers","11-9041.00","Engineering Managers","14.3301","Construction Engineering   (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
30,"Engineering Managers","11-9041","Engineering Managers","11-9041","Engineering Managers","11-9041.00","Engineering Managers","14.3401","Forest Engineering  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
30,"Engineering Managers","11-9041","Engineering Managers","11-9041","Engineering Managers","11-9041.00","Engineering Managers","14.3501","Industrial Engineering  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
30,"Engineering Managers","11-9041","Engineering Managers","11-9041","Engineering Managers","11-9041.00","Engineering Managers","14.3601","Manufacturing Engineering   (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
30,"Engineering Managers","11-9041","Engineering Managers","11-9041","Engineering Managers","11-9041.00","Engineering Managers","14.3801","Surveying Engineering  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
30,"Engineering Managers","11-9041","Engineering Managers","11-9041","Engineering Managers","11-9041.00","Engineering Managers","14.3901","Geological/Geophysical Engineering  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
30,"Engineering Managers","11-9041","Engineering Managers","11-9041","Engineering Managers","11-9041.00","Engineering Managers","14.9999","Engineering, Other",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
31,"Food Service Managers","11-9051","Food Service Managers","11-9051","Food Service Managers","11-9051.00","Food Service Managers","12.0504","Restaurant, Culinary, & Catering Management/Manager",10,"Restaurants, Hotels, & Hospitality",9,"Hospitality & Tourism"
31,"Food Service Managers","11-9051","Food Service Managers","11-9051","Food Service Managers","11-9051.00","Food Service Managers","52.0901","Hospitality Administration/Management, General",10,"Restaurants, Hotels, & Hospitality",9,"Hospitality & Tourism"
31,"Food Service Managers","11-9051","Food Service Managers","11-9051","Food Service Managers","11-9051.00","Food Service Managers","52.0904","Hotel/Motel Administration/Management   (New)",10,"Restaurants, Hotels, & Hospitality",9,"Hospitality & Tourism"
31,"Food Service Managers","11-9051","Food Service Managers","11-9051","Food Service Managers","11-9051.00","Food Service Managers","52.0905","Restaurant/Food Services Management   (New)",10,"Restaurants, Hotels, & Hospitality",9,"Hospitality & Tourism"
32,"Funeral Directors","11-9061","Funeral Directors","11-9061","Funeral Directors","11-9061.00","Funeral Directors","12.0301","Funeral Service & Mortuary Science, General",11,"Retail & Wholesale Trade, Real Estate & Personal Services",14,"Retail & Wholesale Sales & Service"
32,"Funeral Directors","11-9061","Funeral Directors","11-9061","Funeral Directors","11-9061.00","Funeral Directors","12.0302","Funeral Direction/Service  (New)",11,"Retail & Wholesale Trade, Real Estate & Personal Services",14,"Retail & Wholesale Sales & Service"
33,"Gaming Managers","11-9071","Gaming Managers","11-9071","Gaming Managers","11-9071.00","Gaming Managers","12.9999","Personal & Culinary Services, Other",10,"Restaurants, Hotels, & Hospitality",9,"Hospitality & Tourism"
34,"Lodging Managers","11-9081","Lodging Managers","11-9081","Lodging Managers","11-9081.00","Lodging Managers","52.1804","Selling Skills & Sales Operations",10,"Restaurants, Hotels, & Hospitality",9,"Hospitality & Tourism"
34,"Lodging Managers","11-9081","Lodging Managers","11-9081","Lodging Managers","11-9081.00","Lodging Managers","52.0901","Hospitality Administration/Management, General",10,"Restaurants, Hotels, & Hospitality",9,"Hospitality & Tourism"
34,"Lodging Managers","11-9081","Lodging Managers","11-9081","Lodging Managers","11-9081.00","Lodging Managers","52.0904","Hotel/Motel Administration/Management   (New)",10,"Restaurants, Hotels, & Hospitality",9,"Hospitality & Tourism"
34,"Lodging Managers","11-9081","Lodging Managers","11-9081","Lodging Managers","11-9081.00","Lodging Managers","52.0906","Resort Management   (New)",10,"Restaurants, Hotels, & Hospitality",9,"Hospitality & Tourism"
34,"Lodging Managers","11-9081","Lodging Managers","11-9081","Lodging Managers","11-9081.00","Lodging Managers","52.1910","Hospitality and Recreation Marketing Operations",10,"Restaurants, Hotels, & Hospitality",9,"Hospitality & Tourism"
35,"Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111.00","Medical & Health Services Managers","51.0701","Health/Health Care Administration/Management",6,"Health & Human Services",8,"Health Science"
35,"Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111.00","Medical & Health Services Managers","51.0702","Hospital & Health Care Facilities Administration/Management",6,"Health & Human Services",8,"Health Science"
35,"Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111.00","Medical & Health Services Managers","51.0704","Health Unit Manager/Ward Supervisor",6,"Health & Human Services",8,"Health Science"
35,"Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111.00","Medical & Health Services Managers","51.0706","Health Information/Medical Records Administration/Administrator",6,"Health & Human Services",8,"Health Science"
35,"Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111.00","Medical & Health Services Managers","51.0799","Health & Medical Administrative Services, Other",6,"Health & Human Services",8,"Health Science"
35,"Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111.00","Medical & Health Services Managers","51.1602","Nursing Administration (MSN, MS, PhD)",6,"Health & Human Services",8,"Health Science"
35,"Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111.00","Medical & Health Services Managers","51.2201","Public Health, General (MPH, DPH)",6,"Health & Human Services",8,"Health Science"
35,"Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111.00","Medical & Health Services Managers","51.2208","Community Health & Preventive Medicine    (New)",6,"Health & Human Services",8,"Health Science"
35,"Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111","Medical & Health Services Managers","11-9111.00","Medical & Health Services Managers","51.2211","Health Services Administration   (New)",6,"Health & Human Services",8,"Health Science"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","14.3701","Operations Research",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0101","Biology/Biological Sciences, General",,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0202","Biochemistry",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0203","Biophysics",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0204","Molecular Biology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0209","Radiation Biology/Radiobiology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0301","Botany/Plant Biology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0305","Plant Pathology/Phytopathology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0307","Plant Physiology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0399","Botany/Plant Biology, Other",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0401","Cell/Cellular Biology & Histology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0403","Anatomy",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0499","Cell/Cellular Biology & Anatomical Sciences, Other",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0502","Microbiology, General  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0503","Medical Microbiology & Bacteriology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0504","Virology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0505","Parasitology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0507","Immunology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.1301","Ecology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.1302","Marine Biology & Biological Oceanography",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.1303","Evolutionary Biology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.1399","Ecology, Evolution, & Systematics, Other  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0701","Zoology/Animal Biology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0702","Entomology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0707","Animal Physiology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0799","Zoology/Animal Biology, Other",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0804","Animal Genetics",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0805","Plant Genetics",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.0910","Pathology/Experimental Pathology  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.1001","Pharmacology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.1004","Toxicology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.1101","Biometry/Biometrics",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.1102","Biostatistics",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.1201","Biotechnology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","26.9999","Biological & Biomedical Sciences, Other",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","27.0101","Mathematics, General",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","27.0102","Algebra & Number Theory  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","27.0103","Analysis & Functional Analysis  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","27.0104","Geometry/Geometric Analysis  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","27.0105","Topology & Foundations  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","27.0301","Applied Mathematics",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","27.0303","Computational Mathematics  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","27.0399","Applied Mathematics, Other",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","27.0501","Statistics, General",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","27.9999","Mathematics & Statistics, Other",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","30.0101","Biological & Physical Sciences",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","30.0801","Mathematics & Computer Science",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","30.1001","Biopsychology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","30.1501","Science, Technology & Society",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","30.1801","Natural Sciences  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","30.1901","Nutrition Sciences",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","30.2401","Neuroscience",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","38.0102","Logic (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0101","Physical Sciences",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0201","Astronomy",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0202","Astrophysics (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0203","Planetary Astronomy & Science  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0401","Atmospheric Sciences & Meteorology, General",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0402","Atmospheric Chemistry & Climatology  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0403","Atmospheric Physics & Dynamics  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0404","Meteorology  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0499","Atmospheric Sciences & Meteorology, Other  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0501","Chemistry, General",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0502","Analytical Chemistry",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0503","Inorganic Chemistry",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0504","Organic Chemistry",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0506","Physical & Theoretical Chemistry",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0507","Polymer Chemistry",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0508","Chemical Physics (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0599","Chemistry, Other",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0601","Geology/Earth Science, General",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0602","Geochemistry",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0603","Geophysics & Seismology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0604","Paleontology",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0605","Hydrology & Water Resources Science  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0606","Geochemistry & Petrology  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0607","Oceanography, Chemical & Physical  (New)",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0699","Geological & Earth Sciences/Geosciences, Other",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0801","Physics, General",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0802","Atomic/Molecular Physics",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0804","Elementary Particle Physics",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0805","Plasma & High-Temperature Physics",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0806","Nuclear Physics",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0807","Optics/Optical Sciences",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0808","Solid State & Low-Temperature Physics",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0809","Acoustics",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0810","Theoretical & Mathematical Physics",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.0899","Physics, Other",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
36,"Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121","Natural Sciences Managers","11-9121.00","Natural Sciences Managers","40.9999","Physical Sciences, Other",12,"Scientific & Technical Services",15,"Scientific Research/Engineering"
40,"Postmasters & Mail Superintendents","11-9131","Postmasters & Mail Superintendents","11-9131","Postmasters & Mail Superintendents","11-9131.00","Postmasters & Mail Superintendents","44.0401","Public Administration",14,"Transportation",16,"Transportation, Distribution, & Logistics"
41,"Property, Real Estate, & Community Association Managers","11-9141","Property, Real Estate, & Community Association Managers","11-9141","Property, Real Estate, & Community Association Managers","11-9141.00","Property, Real Estate, & Community Association Managers","52.1501","Real Estate",11,"Retail & Wholesale Trade, Real Estate & Personal Services",14,"Retail & Wholesale Sales & Service"
42,"Social & Community Service Managers","11-9151","Social & Community Service Managers","11-9151","Social & Community Service Managers","11-9151.00","Social & Community Service Managers","44","Human Services, General  (New)",9,"Public Administration & Legal Services",7,"Government & Public Administration"
42,"Social & Community Service Managers","11-9151","Social & Community Service Managers","11-9151","Social & Community Service Managers","11-9151.00","Social & Community Service Managers","44.0201","Community Organization & Advocacy",9,"Public Administration & Legal Services",7,"Government & Public Administration"
42,"Social & Community Service Managers","11-9151","Social & Community Service Managers","11-9151","Social & Community Service Managers","11-9151.00","Social & Community Service Managers","44.0401","Public Administration",9,"Public Administration & Legal Services",7,"Government & Public Administration"
